DENOMINACION,BARRIO,ZONATRANSPORTE,FECHAINICIO,LINEAS,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE
TRIBUNAL,14,079-01-004,1993-07-01,"['1', ' 10']",U,T,Calle,440637.0,4475505.0,[]
CAMPAMENTO,104,079-10-251,2002-09-01,['5'],U,N,Avda,434921.0,4472069.0,[]
CARPETANA,114,079-11-287,1993-07-01,['6'],U,T,Calle,437222.0,4471816.0,[]
OPAÑEL,112,079-11-285,1993-07-01,['6'],U,N,Calle,438733.0,4471160.0,[]
USERA,125,079-12-316,1993-07-01,['6'],U,N,Calle,440111.0,4471170.0,[]
CONDE DE CASAL,36,079-03-057,1993-07-01,['6'],U,T,Plaza,443225.0,4473352.0,[]
O'DONNELL,43,079-04-078,1993-07-01,['6'],U,N,Calle,443392.0,4475118.0,[]
BARAJAS,214,079-21-575,1998-01-01,['8'],U,T,Cmno,450732.0,4480936.0,[]
PACIFICO,32,079-03-064,1993-07-01,"['1', ' 6']",U,T,Calle,442928.0,4472810.0,[]
EL BERCIAL,-1,065-001,2003-01-01,['12'],U,T,Avda,438128.0,4464745.0,[]
HOSPITAL SEVERO OCHOA,-1,074-031,2003-01-01,['12'],U,T,Avda,434864.0,4463962.0,[]
SERRANO,41,079-04-070,1993-07-01,['4'],U,N,Calle,441864.0,4475412.0,[]
VELAZQUEZ,41,079-04-074,1993-07-01,['4'],U,N,Calle,442179.0,4475365.0,[]
DIEGO DE LEON,45,079-04-067,1993-07-01,"['4', ' 5', ' 6']",U,N,Calle,442862.0,4476430.0,[]
MONTECARMELO,88,079-08-145,2007-01-01,['10'],U,T,Avda,441160.0,4484278.0,[]
PROSPERIDAD,53,079-05-097,1993-07-01,['4'],U,N,Plaza,442882.0,4477486.0,[]
ALFONSO XIII,52,079-05-099,1993-07-01,['4'],U,N,Calle,443471.0,4477932.0,[]
AVENIDA DE LA PAZ,156,079-15-401,1993-07-01,['4'],U,N,Avda,444046.0,4478515.0,[]
ARTURO SORIA,156,079-15-401,1993-07-01,['4'],U,N,Calle,444472.0,4478766.0,[]
