DENOMINACION,BARRIO,CORONATARIFARIA,FECHAINICIO,TIPO,GRADOACCESIBILIDAD,TIPOVIA,X,Y,RENFE,LINEAS
VILLAVERDE ALTO,171,A,2007-01-01,U,T,Calle,439638.0,4466082.0,"['C-4', 'C-5']","[{'linea': '3', 'orden': 2}]"
ESTACION DEL ARTE,12,A,1993-07-01,U,N,Plaza,441353.0,4473575.0,[],"[{'linea': '1', 'orden': 17}]"
ATOCHA,27,A,1993-07-01,U,T,Avda,441615.0,4473322.0,"['C-1', 'C-10', 'C-2', 'C-3', 'C-4', 'C-5', 'C-7', 'C-8', 'C-8a']","[{'linea': '1', 'orden': 18}]"
ALONSO MARTINEZ,73,A,1993-07-01,U,N,Plaza,441076.0,4475672.0,[],"[{'linea': '4', 'orden': 4}, {'linea': '5', 'orden': 19}, {'linea': '10', 'orden': 20}]"
TETUAN,63,A,1993-07-01,U,N,Calle,440909.0,4479318.0,[],"[{'linea': '1', 'orden': 6}]"
LA GAVIA,181,A,2007-01-01,U,T,Avda,448028.0,4469234.0,[],"[{'linea': '1', 'orden': 30}]"
COLON,74,A,1993-07-01,U,N,Plaza,441493.0,4475413.0,[],"[{'linea': '4', 'orden': 5}]"
SEVILLA,13,A,1993-07-01,U,T,Calle,440787.0,4474601.0,[],"[{'linea': '2', 'orden': 12}]"
GOYA,42,A,1993-07-01,U,T,Calle,442773.0,4475306.0,[],"[{'linea': '2', 'orden': 8}, {'linea': '4', 'orden': 8}]"
PRINCIPE DE VERGARA,42,A,1993-07-01,U,T,Calle,442414.0,4475131.0,[],"[{'linea': '2', 'orden': 9}, {'linea': '9', 'orden': 14}]"
RETIRO,35,A,1993-07-01,U,N,Calle,441892.0,4474842.0,[],"[{'linea': '2', 'orden': 10}]"
BANCO DE ESPAÑA,14,A,1993-07-01,U,N,Calle,441152.0,4474728.0,[],"[{'linea': '2', 'orden': 11}]"
SANTO DOMINGO,11,A,1993-07-01,U,N,Calle,440051.0,4474969.0,[],"[{'linea': '2', 'orden': 15}]"
SAN BLAS,203,A,1993-07-01,U,N,Calle,447903.0,4475651.0,[],"[{'linea': '7', 'orden': 22}]"
SIMANCAS,201,A,1993-07-01,U,N,Calle,447033.0,4475657.0,[],"[{'linea': '7', 'orden': 21}]"
PINAR DE CHAMARTIN,159,A,2007-01-01,U,T,Calle,443592.0,4481471.0,[],"[{'linea': '1', 'orden': 1}, {'linea': '4', 'orden': 23}]"
ESTADIO METROPOLITANO,205,A,2007-01-01,U,T,Avda,449206.0,4476242.0,[],"[{'linea': '7', 'orden': 24}]"
AEROPUERTO T-4,212,A,2007-01-01,U,T,Ctra,449835.0,4482717.0,"['C-1', 'C-10']","[{'linea': '8', 'orden': 8}]"
RIVAS FUTURA,-1,B2,2008-07-09,U,T,Calle,455537.0,4465984.0,[],"[{'linea': '9', 'orden': 25}]"
ALAMEDA DE OSUNA,211,A,2006-11-01,U,T,Calle,450295.0,4478943.0,[],"[{'linea': '5', 'orden': 32}]"
HOSPITAL 12 DE OCTUBRE,122,A,2007-01-01,U,T,Avda,441038.0,4469823.0,[],"[{'linea': '3', 'orden': 7}]"
ALMENDRALES,124,A,2007-01-01,U,T,Avda,440873.0,4470831.0,[],"[{'linea': '3', 'orden': 8}]"
VICENTE ALEIXANDRE,93,A,1993-07-01,U,N,Avda,439101.0,4477766.0,[],"[{'linea': '6', 'orden': 9}]"
PUERTA DEL ANGEL,102,A,1993-07-01,U,N,Paseo,438409.0,4474159.0,[],"[{'linea': '6', 'orden': 4}]"
ALTO DE EXTREMADURA,102,A,1993-07-01,U,N,Paseo,437413.0,4473726.0,[],"[{'linea': '6', 'orden': 3}]"
TIRSO DE MOLINA,12,A,1993-07-01,U,N,Plaza,440323.0,4473971.0,[],"[{'linea': '1', 'orden': 16}]"
LAVAPIES,12,A,1993-07-01,U,T,Plaza,440638.0,4473543.0,[],"[{'linea': '3', 'orden': 13}]"
GETAFE CENTRAL,-1,B1,2003-01-01,U,T,Calle,437737.0,4462623.0,['C-4'],"[{'linea': '12', 'orden': 18}]"
RIOS ROSAS,75,A,1993-07-01,U,N,Calle,440632.0,4477258.0,[],"[{'linea': '1', 'orden': 10}]"
TRIBUNAL,14,A,1993-07-01,U,T,Calle,440637.0,4475505.0,[],"[{'linea': '1', 'orden': 13}, {'linea': '10', 'orden': 21}]"
CAMPAMENTO,104,A,2002-09-01,U,N,Avda,434921.0,4472069.0,[],"[{'linea': '5', 'orden': 2}]"
CARPETANA,114,A,1993-07-01,U,T,Calle,437222.0,4471816.0,[],"[{'linea': '6', 'orden': 28}]"
OPAÑEL,112,A,1993-07-01,U,N,Calle,438733.0,4471160.0,[],"[{'linea': '6', 'orden': 26}]"
USERA,125,A,1993-07-01,U,N,Calle,440111.0,4471170.0,[],"[{'linea': '6', 'orden': 24}]"
CONDE DE CASAL,36,A,1993-07-01,U,T,Plaza,443225.0,4473352.0,[],"[{'linea': '6', 'orden': 19}]"
O`DONNELL,43,A,1993-07-01,U,N,Calle,443392.0,4475118.0,[],"[{'linea': '6', 'orden': 17}]"
BARAJAS,214,A,1998-01-01,U,T,Cmno,450732.0,4480936.0,[],"[{'linea': '8', 'orden': 7}]"
PACIFICO,32,A,1993-07-01,U,T,Calle,442928.0,4472810.0,[],"[{'linea': '1', 'orden': 20}, {'linea': '6', 'orden': 20}]"
EL BERCIAL,-1,B1,2003-01-01,U,T,Avda,438128.0,4464745.0,[],"[{'linea': '12', 'orden': 22}]"
HOSPITAL SEVERO OCHOA,-1,B1,2003-01-01,U,T,Avda,434864.0,4463962.0,[],"[{'linea': '12', 'orden': 26}]"
SERRANO,41,A,1993-07-01,U,N,Calle,441864.0,4475412.0,[],"[{'linea': '4', 'orden': 6}]"
VELAZQUEZ,41,A,1993-07-01,U,N,Calle,442179.0,4475365.0,[],"[{'linea': '4', 'orden': 7}]"
DIEGO DE LEON,45,A,1993-07-01,U,N,Calle,442862.0,4476430.0,[],"[{'linea': '4', 'orden': 10}, {'linea': '5', 'orden': 22}, {'linea': '6', 'orden': 15}]"
MONTECARMELO,88,A,2007-01-01,U,T,Avda,441160.0,4484278.0,[],"[{'linea': '10', 'orden': 10}]"
PROSPERIDAD,53,A,1993-07-01,U,N,Plaza,442882.0,4477486.0,[],"[{'linea': '4', 'orden': 12}]"
ALFONSO XIII,52,A,1993-07-01,U,N,Calle,443471.0,4477932.0,[],"[{'linea': '4', 'orden': 13}]"
AVENIDA DE LA PAZ,156,A,1993-07-01,U,N,Avda,444046.0,4478515.0,[],"[{'linea': '4', 'orden': 14}]"
ARTURO SORIA,156,A,1993-07-01,U,N,Calle,444472.0,4478766.0,[],"[{'linea': '4', 'orden': 15}]"
ESPERANZA,163,A,1993-07-01,U,N,Calle,445354.0,4479161.0,[],"[{'linea': '4', 'orden': 16}]"
CANILLAS,163,A,1993-07-01,U,T,Avda,446224.0,4479639.0,[],"[{'linea': '4', 'orden': 17}]"
SAN LORENZO,164,A,1993-07-01,U,T,Avda,445895.0,4480825.0,[],"[{'linea': '4', 'orden': 19}]"
PARQUE DE SANTA MARIA,164,A,1993-07-01,U,T,Calle,445417.0,4481122.0,[],"[{'linea': '4', 'orden': 20}]"
